"","symbol","X","et.avg","et.sd","pval.x","pval.t"
"60","01075.HK",1.00456046615953,0.0107829971589721,0.119541595364416,1.61920987777447e-204,6.46678174338534e-13
"61","01076.HK",1.00088376370979,-0.00852420867122371,0.211496479844328,3.05153979191854e-158,1.32497556301342e-16
"62","01079.HK",1.00835947006308,0.0026302102361567,0.14954633618938,1.06759422829039e-186,7.55529543815582e-08
"63","00108.HK",0.97259655754898,-0.0271288949296082,0.156449554044993,3.83482616262135e-180,7.30506375689043e-08
"64","01080.HK",1.01962574554223,-0.010968314946675,0.104312212917701,7.7059104030325e-124,8.50506137124846e-06
"65","01082.HK",0.985057229654931,-0.0304307771897092,0.151623134532973,2.46759260328449e-89,0.000167317156572856
"66","01083.HK",1.00861736366113,0.0107666426445409,0.0689829769462053,1.51693931660506e-249,0.0128654255694303
"67","01084.HK",1.00343806650665,0.00734044669245743,0.0502466540014113,5.30646240133348e-31,0.120680168542734
"68","01085.HK",0.998786728359425,0.00367980365394115,0.0814389937300886,7.91767274376419e-128,1.12991028633954e-06
"69","01086.HK",1.02103420091462,0.00165180721874602,0.105236549539449,1.6552382050548e-115,0.108118143568553
"70","01087.HK",1.010197998699,-0.0175137531637492,0.132437233120315,3.85394337297196e-102,5.12307113007419e-05
"71","01088.HK",0.995745254078773,-0.000846524923149012,0.0587531556919035,1.40664948458934e-261,0.381951342695674
"72","01090.HK",1.01800098986828,0.0152889403730062,0.0991748614938598,1.17053321448821e-118,0.10216816741438
"73","01091.HK",1.00739377107706,-0.00225467399140841,0.128240553427801,9.11232502759431e-104,6.08255241395783e-10
"74","01093.HK",1.00052767921433,0.0124914079682902,0.099913149440186,9.49270179791128e-219,0.000763657179188174
"75","01094.HK",0.994886407228168,-0.0221952871085176,0.216721366590804,8.17358279654135e-156,8.42772295546132e-14
"76","01098.HK",1.00225661677103,0.00648884018166897,0.0763933190207431,1.01298018370097e-240,1.21972098150967e-15
"77","01099.HK",1.01284077986988,0.00758214490390503,0.0658544081886057,2.50393369732951e-154,0.102247766351955
"78","00011.HK",0.999587979885953,0.00287360664076054,0.0412507058442362,9.83667559058884e-291,2.73929423105512e-08
"79","00110.HK",1.00697878577093,-0.00848139212005309,0.136598324670327,6.57793409666929e-194,3.11885571280777e-09
"80","01100.HK",1.0100164325877,0.0101669547670362,0.0900488504614198,5.75810453705963e-228,3.00578053372425e-08
"81","01101.HK",1.00033482054568,-0.043709872010791,0.136322615822094,5.27567123217596e-100,0.00877405341996235
"82","01104.HK",0.989500478421994,-0.0117831498185154,0.148154226805635,6.2780087720392e-186,1.33154740967975e-11
"83","01105.HK",1.00078907639661,-0.00164710745961412,0.0982670134229742,4.03942750937944e-220,3.25318962096972e-11
"84","01108.HK",1.01171713625693,0.0265513653453197,0.139729215107237,1.86887011134383e-192,1.48111326824502e-12
