"","symbol","X","et.avg","et.sd","pval.x","pval.h","pval.t","r.squared","first.data.month"
"1610","00719.HK",1.00669297824895,0.0133115703641785,0.0947770286974123,2.56562400242518e-222,0.373952580338743,4.28921418108317e-10,0.995605406776405,2006-02-01
"1611","00072.HK",1.01469592702426,-0.00465025250144156,0.0644534524731217,8.85996178603356e-154,0.0906566218825566,0.0415948571170852,0.992491437380327,2009-09-01
"1612","07200.HK",1.00998760721882,0.0106820999735537,0.0387061121339141,3.90594855015021e-75,0.668350762116769,0.429834220067034,0.998276167204051,2017-03-01
"1613","00721.HK",1.00109480561731,-0.000345615276813045,0.144324748497518,5.98598126849078e-188,0.0423656429547359,1.76979341035358e-08,0.989770418862085,2006-02-01
"1614","00722.HK",0.98551592688115,-0.0250827118569013,0.114406676432376,1.49956243555924e-62,0.446395348490178,1.89711324666279e-07,0.983098999746793,2015-11-01
"1615","07226.HK",2.32492878285093,0.115129165270904,0.102556335818722,0.0160363576776234,0.31463678767495,0.83693367909802,0.580207626619929,2020-12-01
"1616","07230.HK",1.00408314687345,-0.00388320176820959,0.0460060770349433,5.9120442347331e-71,0.340150323636207,0.501287285845883,0.997531250870553,2017-03-01
"1617","07231.HK",1.00945856996267,0.00997380197726267,0.0383518934314002,2.44784062270264e-75,0.697052780644089,0.459356893697269,0.998306015287185,2017-03-01
"1618","07233.HK",0.939529698578125,0.0142178101469207,0.0496334718385544,3.41809944588147e-07,0.0730880824242788,0.430522555848878,0.856278063174045,2020-07-01
"1619","00724.HK",0.997163234000366,-0.0263991120439895,0.180395829227343,9.48568229769524e-170,0.711581330201726,1.16096993046712e-08,0.983970806209927,2006-02-01
"1620","07248.HK",0.492396434652878,-0.0574133021324689,0.0555342583336377,0.342562926025606,0.0369495454533989,0.10206339827223,0.533638981795011,2021-01-01
"1621","00725.HK",1.00157361095647,0.00742824119622099,0.102874702339572,2.80342757395689e-215,0.57499100665886,1.75282636777246e-10,0.994774083427756,2006-02-01
"1622","00726.HK",0.984806028268708,-0.00811759574651422,0.179837641015514,5.31905243857963e-169,0.502031372232649,4.36885220978519e-13,0.983663041678676,2006-02-01
"1623","07261.HK",0.991503643801372,-0.000850175613083618,0.130475099459333,1.2865471330675e-50,0.220234475308886,6.32898669258375e-11,0.979187412430096,2016-09-01
"1624","00727.HK",1.03562900211753,0.0148950872587299,0.22155976539025,2.17841158974135e-156,0.479708906762195,2.28832561005891e-16,0.977732991966015,2006-02-01
"1625","07272.HK",0.926505227824943,0.021348958778364,0.0549754816258181,1.35553885910606e-06,0.0837487226308043,0.509147810264124,0.826133556236122,2020-07-01
"1626","00728.HK",1.00073357401327,0.000126160832996263,0.0591830813925015,5.70873448756578e-260,0.335529243333545,0.00776951170540315,0.99826144546816,2006-02-01
"1627","07288.HK",1.00464207999146,-0.00258438048270969,0.0463926075458676,9.00340168790711e-71,0.307515281445679,0.44536351677215,0.997491659304979,2017-03-01
"1628","07299.HK",0.812552539953666,-0.0360125459803314,0.0592137617524605,2.42626280885726e-06,0.975374527278252,0.600344978824381,0.783213808314638,2020-06-01
"1629","00730.HK",1.00234372609634,-0.00493961349500857,0.0968651403550329,3.32002882414934e-220,0.350640975229077,5.48861562775754e-08,0.995370716627817,2006-02-01
"1630","07300.HK",0.98001515410995,-0.0281939288974141,0.0751612471268331,6.25260905105885e-59,0.71946415711833,0.430086005390289,0.993160838502815,2017-03-01
"1631","00732.HK",1.0072784243321,0.010343168053664,0.127563945515473,2.21867672430211e-198,0.0645872203024249,0.0020655985757667,0.992073558027594,2006-02-01
